first_name,last_name,email,SSN,password
Alice,Smith,alice.smith@example.com,283-87-2898,password123
Bob,Johnson,bob.johnson@example.com,120-56-9898,password123
Carol,Williams,carol.williams@example.com,882-81-4302,password123
David,Jones,david.jones@example.com,361-93-6960,password123
Eva,Brown,eva.brown@example.com,978-95-6203,password123
Frank,Davis,frank.davis@example.com,791-35-7591,password123
Grace,Miller,grace.miller@example.com,826-40-2705,password123
Hank,Wilson,hank.wilson@example.com,384-34-2232,password123
Ivy,Moore,ivy.moore@example.com,841-82-9888,password123
Jack,Taylor,jack.taylor@example.com,271-86-2475,password123
