first_name,last_name,email,SSN,password
Alice,Johnson,alice.johnson@example.com,111-11-1111,alicepwd
Bob,Smith,bob.smith@example.com,222-22-2222,bobpwd
Carol,Williams,carol.williams@example.com,333-33-3333,carolpwd
David,Jones,david.jones@example.com,444-44-4444,davidpwd
Eva,Brown,eva.brown@example.com,555-55-5555,evapwd
Frank,Garcia,frank.garcia@example.com,666-66-6666,frankpwd
Grace,Martinez,grace.martinez@example.com,777-77-7777,gracepwd
Henry,Davis,henry.davis@example.com,888-88-8888,henrypwd
Ivy,Lopez,ivy.lopez@example.com,999-99-9999,ivypwd
Jack,Wilson,jack.wilson@example.com,101-10-1010,jackpwd
